"","x"
"1",-3.84804256614315
"2",4.64432839295611
"3",2.24570043086531
"4",1.52809395945306
"5",5.14713376363631
"6",2.32151310700442
"7",6.39426377852319
"8",6.17599451722941
"9",8.72439761165857
"10",3.69430814988019
"11",4.62447185674802
"12",2.40095558510243
"13",6.00144123085744
"14",2.12487195873105
"15",2.55524267894423
"16",-0.346586634659702
"17",1.20717326347159
"18",-2.62395725779427
"19",-3.89052874782453
"20",1.88925630221464
"21",-1.58762346155697
"22",-2.19055881836408
"23",2.75667495107104
"24",-3.41735022333179
"25",2.78651464564884
"26",8.79918428712775
"27",3.9157073004201
"28",5.41180301288627
"29",4.411631349718
"30",5.88350486943697
"31",1.47061056149611
"32",6.22368619724106
"33",2.93452247339767
"34",-1.79793861507308
"35",-1.84548116753801
"36",1.70381799249748
"37",0.794633017776738
"38",6.47913624556948
"39",1.17573391182807
"40",0.0645307508426556
"41",-2.32008985298078
"42",-1.28127730540668
"43",-0.349900148550998
"44",-2.61481430394144
"45",-1.1527712210446
"46",-5.59154015200924
"47",-3.38614213772905
"48",0.387640799535052
"49",1.68364810071866
"50",2.98754757118667
"51",0.6933031855279
"52",-3.30770891848415
"53",2.14017516511101
"54",1.1341562001038
"55",-1.6615780963793
"56",-7.89622961726901
"57",-7.47584942151282
"58",-6.46426802353926
"59",-7.4981501901623
"60",-1.06240411634696
"61",-0.654913850138128
"62",-4.28617169313551
"63",-2.83007451846066
"64",-3.05810832881601
"65",-6.16139771461297
"66",-5.74834013152507
"67",-2.68551091239412
"68",-5.83541401668402
"69",-3.06545845571136
"70",-5.35860866601264
"71",-6.79045925227911
"72",-3.90374226980889
"73",-1.95440398803894
"74",0.749435683675057
"75",1.30480942678647
"76",2.213633347608
"77",-1.40311615324154
"78",-0.55023517971927
"79",4.39963860587596
"80",0.457554624164038
"81",0.530036628809634
"82",3.32545358172328
"83",4.62236297428533
"84",8.98718103996481
"85",5.63635455936962
"86",0.979213323159847
"87",-0.0789957449681505
"88",1.52341208113581
"89",-1.41905672581021
"90",-3.41369250790823
"91",1.19976782233158
"92",-0.38130858017107
"93",0.10761402805013
"94",0.386392457347232
"95",-0.450778062343972
"96",-1.68497858713973
"97",0.879228811629506
"98",-2.19091924767958
"99",-1
"100",-1.5
